sidecar_path	target_path	expected_sha256	actual_sha256	status
01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_00_全体状態・再構成/HTV00_01_RESULTS_FOR_REVIEW.zip.sha256	01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_00_全体状態・再構成/HTV00_01_RESULTS_FOR_REVIEW.zip	dc3e27a5625032087bf0e6c9b536ef5b5b503d0c842b04bac3e8803af1f7679f	dc3e27a5625032087bf0e6c9b536ef5b5b503d0c842b04bac3e8803af1f7679f	PASS
01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_00_全体状態・再構成/HTV00_101_INDEPENDENT_CURRENT_STATE_RECONSTRUCTION.md.sha256	01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_00_全体状態・再構成/HTV00_101_INDEPENDENT_CURRENT_STATE_RECONSTRUCTION.md	11efd2c6acac1f1f42b6e36dfee9ad571ffe6c98a0d863ee92d914abefe0ac22	11efd2c6acac1f1f42b6e36dfee9ad571ffe6c98a0d863ee92d914abefe0ac22	PASS
01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_00_全体状態・再構成/HTV00_120_CANONICALIZATION_CORR1_RESULTS_FOR_REVIEW.zip.sha256	01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_00_全体状態・再構成/HTV00_120_CANONICALIZATION_CORR1_RESULTS_FOR_REVIEW.zip	a2b54d8c46fda32187c8a5beeeab5a92605b0b352cedf199c57e154e17e9095e	a2b54d8c46fda32187c8a5beeeab5a92605b0b352cedf199c57e154e17e9095e	PASS
01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_00_全体状態・再構成/HTV00_32_COMPARISON_AND_MINIMAL_CURRENT_STATE.md.sha256	01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_00_全体状態・再構成/HTV00_32_COMPARISON_AND_MINIMAL_CURRENT_STATE.md	d51bded2b4ddaf67c3cfe2e1da6ff13d1200b770044a2265895398eca59dbd93	d51bded2b4ddaf67c3cfe2e1da6ff13d1200b770044a2265895398eca59dbd93	PASS
01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_00_全体状態・再構成/HTV00_32_INDEPENDENT_CURRENT_STATE_RECONSTRUCTION.md.sha256	01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_00_全体状態・再構成/HTV00_32_INDEPENDENT_CURRENT_STATE_RECONSTRUCTION.md	c951d7d547834ea365354dbfef94a7aaf84d6368643cdad657153b0c329ec225	c951d7d547834ea365354dbfef94a7aaf84d6368643cdad657153b0c329ec225	PASS
01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_01_初期監査・候補選定_HTV02-10/HTV02_RESULTS_FOR_REVIEW.zip.sha256	01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_01_初期監査・候補選定_HTV02-10/HTV02_RESULTS_FOR_REVIEW.zip	69e62736e43a8977e1f4d22a75facdde4ac3f4362541aef06be79ff023b88bce	69e62736e43a8977e1f4d22a75facdde4ac3f4362541aef06be79ff023b88bce	PASS
01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_01_初期監査・候補選定_HTV02-10/HTV03_RESULTS_FOR_REVIEW.zip.sha256	01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_01_初期監査・候補選定_HTV02-10/HTV03_RESULTS_FOR_REVIEW.zip	5e9f49149b4174fb80fbfaa79cc854a2f9f70f262daf7fffb3878f46e8a67a8d	5e9f49149b4174fb80fbfaa79cc854a2f9f70f262daf7fffb3878f46e8a67a8d	PASS
01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_01_初期監査・候補選定_HTV02-10/HTV04_RESULTS_FOR_REVIEW.zip.sha256	01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_01_初期監査・候補選定_HTV02-10/HTV04_RESULTS_FOR_REVIEW.zip	8e37f88112847a1cc3532ac1fd938a70dac032454775cca4f8ed0d295350ab7a	8e37f88112847a1cc3532ac1fd938a70dac032454775cca4f8ed0d295350ab7a	PASS
01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_01_初期監査・候補選定_HTV02-10/HTV05_RESULTS_FOR_REVIEW.zip.sha256	01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_01_初期監査・候補選定_HTV02-10/HTV05_RESULTS_FOR_REVIEW.zip	fc75b5c5dee8001d64ca8c3f6635ccf9607b7b69a8b54ed4b2d1811beb0d2bd6	fc75b5c5dee8001d64ca8c3f6635ccf9607b7b69a8b54ed4b2d1811beb0d2bd6	PASS
01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_01_初期監査・候補選定_HTV02-10/HTV06_RESULTS_FOR_REVIEW.zip.sha256	01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_01_初期監査・候補選定_HTV02-10/HTV06_RESULTS_FOR_REVIEW.zip	0d9a7f7a7c73610eff286eb211cd7b0d76d882102f9009e55c3b3f19b0a155eb	0d9a7f7a7c73610eff286eb211cd7b0d76d882102f9009e55c3b3f19b0a155eb	PASS
