supplement_path	authority_layer	canonical_source_path	canonical_source_sha256	supplement_sha256	byte_identity	canonical_status	action
evidence/gwtc/HEADLINE_PAIR_DIAGNOSTIC_METRIC.tsv	SECOND_B01	second_nested/B01/01_GWTC45_STANDARD_SIREN_POSTERIOR_TRACEABILITY_MASTER_V1_0/02_KEY_RESULTS/HEADLINE_PAIR_DIAGNOSTIC_METRIC.tsv	0e83afaeeee2973d8ed79514ee16c18f4e94938bdb66584dd86e336d1a9a1cb8	0e83afaeeee2973d8ed79514ee16c18f4e94938bdb66584dd86e336d1a9a1cb8	PASS_BYTE_IDENTICAL	CANONICAL_CURRENT	No scientific value edited; copied byte-for-byte.
evidence/gwtc/IMPLEMENTATION_CROSSCHECK.tsv	SECOND_B01	second_nested/B01/01_GWTC45_STANDARD_SIREN_POSTERIOR_TRACEABILITY_MASTER_V1_0/02_KEY_RESULTS/IMPLEMENTATION_CROSSCHECK.tsv	0ce90cfe69316c2e8159096150047ffbc951a9075799ba9d38012ddfaa2d2680	0ce90cfe69316c2e8159096150047ffbc951a9075799ba9d38012ddfaa2d2680	PASS_BYTE_IDENTICAL	CANONICAL_CURRENT	No scientific value edited; copied byte-for-byte.
evidence/gwtc/INPUT_SOURCE_REGISTER.tsv	SECOND_B01	second_nested/B01/01_GWTC45_STANDARD_SIREN_POSTERIOR_TRACEABILITY_MASTER_V1_0/02_KEY_RESULTS/INPUT_SOURCE_REGISTER.tsv	5822815ce33e6fa1beef51ae2c4f34d0a9957d28eb7ccc64f42cecec8a3a19b4	5822815ce33e6fa1beef51ae2c4f34d0a9957d28eb7ccc64f42cecec8a3a19b4	PASS_BYTE_IDENTICAL	CANONICAL_CURRENT	No scientific value edited; copied byte-for-byte.
evidence/gwtc/RAW_QUANTILES.tsv	SECOND_B01	second_nested/B01/01_GWTC45_STANDARD_SIREN_POSTERIOR_TRACEABILITY_MASTER_V1_0/02_KEY_RESULTS/RAW_QUANTILES.tsv	76e6b3052a252b3c6168f80005fecfec7260972470e98d23869706af75a0e115	76e6b3052a252b3c6168f80005fecfec7260972470e98d23869706af75a0e115	PASS_BYTE_IDENTICAL	CANONICAL_CURRENT	No scientific value edited; copied byte-for-byte.
evidence/gwtc/RESULTS_MACHINE_READABLE.json	SECOND_B01	second_nested/B01/01_GWTC45_STANDARD_SIREN_POSTERIOR_TRACEABILITY_MASTER_V1_0/02_KEY_RESULTS/RESULTS_MACHINE_READABLE.json	331994dbf963179b1cc4638c333a6dcc5d423b612efe60d008039834d8b9f937	331994dbf963179b1cc4638c333a6dcc5d423b612efe60d008039834d8b9f937	PASS_BYTE_IDENTICAL	CANONICAL_CURRENT	No scientific value edited; copied byte-for-byte.
evidence/gwtc/ROUNDED_HEADLINE_COMPARISON.tsv	SECOND_B01	second_nested/B01/01_GWTC45_STANDARD_SIREN_POSTERIOR_TRACEABILITY_MASTER_V1_0/02_KEY_RESULTS/ROUNDED_HEADLINE_COMPARISON.tsv	51c90e6ff4d9c30fd42e914a99d0087a9a59f559731e7eb9afa609c550a4e15f	51c90e6ff4d9c30fd42e914a99d0087a9a59f559731e7eb9afa609c550a4e15f	PASS_BYTE_IDENTICAL	CANONICAL_CURRENT	No scientific value edited; copied byte-for-byte.
evidence/gwtc/SOURCE_FREEZE_CORRECTION_SUMMARY.md	SECOND_B01	second_nested/B01/01_GWTC45_STANDARD_SIREN_POSTERIOR_TRACEABILITY_MASTER_V1_0/02_KEY_RESULTS/SOURCE_FREEZE_CORRECTION_SUMMARY.md	885139033bf570a8a9c70d6d53e1d3441f006db0326ce42606f0024df72c344d	885139033bf570a8a9c70d6d53e1d3441f006db0326ce42606f0024df72c344d	PASS_BYTE_IDENTICAL	CANONICAL_CURRENT	No scientific value edited; copied byte-for-byte.
evidence/bbc/AUDIT_SUMMARY.json	SECOND_B02	second_nested/B02/02_PANTHEON_PLUS_BBC_TRUTH_CLOSURE_SOURCE_READINESS_HOLD/04_MACHINE_READABLE/AUDIT_SUMMARY.json	6537348772ae149f828040bd3fb2438bbc4a0511823b5d78d3c4b3dbdb8325e9	6537348772ae149f828040bd3fb2438bbc4a0511823b5d78d3c4b3dbdb8325e9	PASS_BYTE_IDENTICAL	CANONICAL_CURRENT	No scientific value edited; copied byte-for-byte.
evidence/bbc/MISSING_INPUT_AND_AMBIGUITY_REGISTER.tsv	SECOND_B02	second_nested/B02/02_PANTHEON_PLUS_BBC_TRUTH_CLOSURE_SOURCE_READINESS_HOLD/02_REGISTERS/MISSING_INPUT_AND_AMBIGUITY_REGISTER.tsv	85d670dca4fbe61bac129150292817ab5e15805b72c4edaf2dc5d2e1a97179fb	85d670dca4fbe61bac129150292817ab5e15805b72c4edaf2dc5d2e1a97179fb	PASS_BYTE_IDENTICAL	CANONICAL_CURRENT	No scientific value edited; copied byte-for-byte.
evidence/bbc/OFFICIAL_SOURCE_REGISTER.tsv	SECOND_B02	second_nested/B02/02_PANTHEON_PLUS_BBC_TRUTH_CLOSURE_SOURCE_READINESS_HOLD/02_REGISTERS/OFFICIAL_SOURCE_REGISTER.tsv	9d94919bd907cb1b8107eda2a68d1bc53113d5663929b193958011157d91066c	9d94919bd907cb1b8107eda2a68d1bc53113d5663929b193958011157d91066c	PASS_BYTE_IDENTICAL	CANONICAL_CURRENT	No scientific value edited; copied byte-for-byte.
